Datum,Abflugort,Zielort,Distanz (Meilen),Flugdauer,Treibstoffverbrauch (Gallons),Emissionen (Metrische Tonnen)
20.07.2024,"William Hobby Airport (HOU) Houston","Fort Lauderdale Executive Airport (FXE) Florida",950,"2 hours 7 minutes",700,6
21.07.2024,"Fort Lauderdale Executive Airport (FXE) Florida","Portland International Jetport (PWM) Maine",1300,"2 hours 48 minutes",920,8
21.07.2024,"Portland International Jetport (PWM) Maine","Chicago Executive Airport (PWK) Illinois",900,"2 hours 18 minutes",760,7
21.07.2024,"Chicago Executive Airport (PWK) Illinois","Adirondack Regional Airport (SLK) Saranac Lake, New York",710,"1 hour 30 minutes",500,5
22.07.2024,"Adirondack Regional Airport (SLK) Saranac Lake, New York","Naples Airport (APF) Florida",1300,"3 hours 1 minute",1000,9
22.07.2024,"Naples Airport (APF) Florida","Fort Lauderdale Executive Airport (FXE) Florida",100,"1 hour 47 minutes",590,5
23.07.2024,"The William Hartsfield Airport (ATL) Atlanta","Daniel Oduber Quiros International Airport (LIR) Liberia,",1600,"3 hours 48 minutes",1300,11
23.07.2024,"Daniel Oduber Quiros International Airport (LIR) Liberia,","Fort Lauderdale Executive Airport (FXE) Florida",1100,"2 hours 51 minutes",940,9
23.07.2024,"Fort Lauderdale Executive Airport (FXE) Florida","The William Hartsfield Airport (ATL) Atlanta",580,"1 hour 21 minutes",450,4
25.07.2024,"Naples Airport (APF) Florida","Van Nuys Airport (VNY) California",2300,"7 hours 14 minutes",2400,22
25.07.2024,"Fort Lauderdale Executive Airport (FXE) Florida","Naples Airport (APF) Florida",100,"1 hour 49 minutes",600,6
27.07.2024,"Van Nuys Airport (VNY) California","Witham Field (SUA) Martin County, Florida",2300,"11 hours 53 minutes",3900,36
27.07.2024,"Witham Field (SUA) Martin County, Florida","Fort Lauderdale Executive Airport (FXE) Florida",70,"1 hour 20 minutes",440,4
04.08.2024,"Jacksonville International Airport (JAX) Florida","McCarran International Airport (LAS) Las Vegas",2000,"4 hours 57 minutes",1600,15
04.08.2024,"McCarran International Airport (LAS) Las Vegas","San Jose International Airport (SJC) California",390,"1 hour 13 minutes",400,4
04.08.2024,"Fort Lauderdale Executive Airport (FXE) Florida","Jacksonville International Airport (JAX) Florida",310,"50 minutes",280,3
05.08.2024,"San Jose International Airport (SJC) California","Austin International Airport (AUS) Texas",1480,"3 hours 5 minutes",1000,9
06.08.2024,"Austin International Airport (AUS) Texas","Fort Lauderdale Executive Airport (FXE) Florida",1100,"2 hours 57 minutes",970,9
06.08.2024,"Fort Lauderdale Executive Airport (FXE) Florida","N/A",860,"2 hours 22 minutes",780,7
11.08.2024,"Denver International Airport (DEN) Colorado","Napa County Airport (APC) Napa Valley, California",950,"2 hours 30 minutes",830,8
11.08.2024,"Cherry Capital Airport (TVC) Traverse City, Michigan","Denver International Airport (DEN) Colorado",1000,"1 hour 46 minutes",580,5
11.08.2024,"N/A","Cherry Capital Airport (TVC) Traverse City, Michigan",490,"1 hour 25 minutes",470,4
12.08.2024,"Page Municipal Airport (PGA) Arizona","Charles Wheeler Downtown Airport (MKC) Kansas City",930,"2 hours 18 minutes",760,7
12.08.2024,"Napa County Airport (APC) Napa Valley, California","Page Municipal Airport (PGA) Arizona",590,"1 hour 38 minutes",540,5
13.08.2024,"Charles Wheeler Downtown Airport (MKC) Kansas City","Teterboro Airport (TEB) New Jersey",1100,"2 hours 58 minutes",980,9
13.08.2024,"Teterboro Airport (TEB) New Jersey","N/A",1100,"2 hours 41 minutes",890,8
17.08.2024,"Fort Lauderdale Executive Airport (FXE) Florida","Pittsburgh International Airport (PIT) Pennsylvania",990,"2 hours 15 minutes",740,7
17.08.2024,"Pittsburgh International Airport (PIT) Pennsylvania","Chicago 'hare International Airport (ORD) Illinois",410,"57 minutes",310,3
18.08.2024,"Aspen County Airport (ASE) Colorado","Fort Lauderdale Executive Airport (FXE) Florida",1800,"3 hours 25 minutes",1100,10
18.08.2024,"Chicago 'hare International Airport (ORD) Illinois","Aspen County Airport (ASE) Colorado",1000,"1 hour 58 minutes",650,6
25.08.2024,"Flying Cloud Airport (FCM) MINNEAPOLIS","Fort Lauderdale Executive Airport (FXE) Florida",1500,"4 hours 31 minutes",1500,14
25.08.2024,"Fort Lauderdale Executive Airport (FXE) Florida","Flying Cloud Airport (FCM) MINNEAPOLIS",1500,"3 hours 5 minutes",1000,9
30.08.2024,"Baton Rouge Metropolitan Airport (BTR) Louisiana","McCarran International Airport (LAS) Las Vegas",1400,"2 hours 43 minutes",900,8
30.08.2024,"Fort Lauderdale Executive Airport (FXE) Florida","Baton Rouge Metropolitan Airport (BTR) Louisiana",730,"1 hour 32 minutes",510,5
30.08.2024,"McCarran International Airport (LAS) Las Vegas","Monterey Regional Airport (MRY) California",360,"49 minutes",270,3
31.08.2024,"Monterey Regional Airport (MRY) California","Austin International Airport (AUS) Texas",1400,"3 hours 8 minutes",1000,9
31.08.2024,"Austin International Airport (AUS) Texas","Fort Lauderdale Executive Airport (FXE) Florida Fort Lauderdale Executive Airport (FXE) Florida",1100,"2 hours 48 minutes",920,8
01.09.2024,"Elizabethton Municipal Airport (OA9) Tennessee","Fort Lauderdale Executive Airport (FXE) Florida",710,"1 hour 39 minutes",550,5
02.09.2024,"Fort Lauderdale Executive Airport (FXE) Florida","Elizabethton Municipal Airport (OA9) Tennessee",710,"1 hour 44 minutes",570,5
02.09.2024,"Spartanburg Downtown Memorial Airport (SPA) South Carolina","Austin International Airport (AUS) Texas",970,"2 hours 12 minutes",730,7
02.09.2024,"Fort Lauderdale Executive Airport (FXE) Florida","Spartanburg Downtown Memorial Airport (SPA) South Carolina",620,"1 hour 30 minutes",500,5
02.09.2024,"Boca Raton Airport (BCT) Florida","Fort Lauderdale Executive Airport (FXE) Florida",20,"54 minutes",300,3
03.09.2024,"Austin International Airport (AUS) Texas","Boca Raton Airport (BCT) Florida",1100,"2 hours 25 minutes",800,7
04.09.2024,"Fort Lauderdale Executive Airport (FXE) Florida","Morristown Municipal Airport (MMU) New Jersey",1100,"2 hours 33 minutes",840,8
04.09.2024,"Morristown Municipal Airport (MMU) New Jersey","Fort Lauderdale Executive Airport (FXE) Florida",1100,"2 hours 25 minutes",800,7
08.09.2024,"Nashville International Airport (BNA) Tennessee","Van Nuys Airport (VNY) California",1800,"4 hours 41 minutes",1500,14
08.09.2024,"Fort Lauderdale Executive Airport (FXE) Florida","Nashville International Airport (BNA) Tennessee",790,"2 hours 12 minutes",730,7
09.09.2024,"Van Nuys Airport (VNY) California","Northeast Philadelphia Airport (PNE) Pennsylvania",2400,"4 hours 46 minutes",1600,14
09.09.2024,"Northeast Philadelphia Airport (PNE) Pennsylvania","Fort Lauderdale Executive Airport (FXE) Florida",1000,"2 hours 15 minutes",740,7
20.09.2024,"Logan International Airport (BOS) Boston","Fort Lauderdale Executive Airport (FXE) Florida",1200,"3 hours 28 minutes",1100,10
20.09.2024,"Fort Lauderdale Executive Airport (FXE) Florida","Logan International Airport (BOS) Boston",1200,"3 hours 16 minutes",1100,10
22.09.2024,"Fort Lauderdale Executive Airport (FXE) Florida","Dallas Love Field Airport (DAL) Texas",1110,"2 hours 37 minutes",860,8
23.09.2024,"Palm Springs International Airport (PSP) California","Dallas Love Field Airport (DAL) Texas",1100,"2 hours 27 minutes",810,7
23.09.2024,"Dallas Love Field Airport (DAL) Texas","Palm Springs International Airport (PSP) California",1100,"2 hours 21 minutes",780,7
24.09.2024,"Dallas Love Field Airport (DAL) Texas","Chicago Midway International Airport (MDW) Illinois",800,"1 hour 34 minutes",520,5
27.09.2024,"Fort Lauderdale Executive Airport (FXE) Florida","Waukesha County Airport (UES) Wisconsin",1300,"2 hours 37 minutes",860,8
28.09.2024,"Waukesha County Airport (UES) Wisconsin","Fort Lauderdale Executive Airport (FXE) Florida",1300,"2 hours 49 minutes",930,9
29.09.2024,"Gregorio Luperon International Airport (POP)","Westchester County Airport (HPN) White Plains, New York",1500,"2 hours 54 minutes",960,9
29.09.2024,"Fort Lauderdale Executive Airport (FXE) Florida","Gregorio Luperon International Airport (POP)",760,"1 hour 32 minutes",510,5
30.09.2024,"Westchester County Airport (HPN) White Plains, New York","Fort Lauderdale Executive Airport (FXE) Florida",1100,"2 hours 10 minutes",720,7
06.10.2024,"Nashville International Airport (BNA) Tennessee","Phoenix Deer Valley Airport (DVT) Glendale, Arizona",1400,"3 hours 48 minutes",1300,11
06.10.2024,"Fort Lauderdale Executive Airport (FXE) Florida","Nashville International Airport (BNA) Tennessee",790,"1 hour 30 minutes",500,5
06.10.2024,"Phoenix Deer Valley Airport (DVT) Glendale, Arizona","Boise Air Terminal Airport (BOI) Idaho",720,"1 hour 50 minutes",610,6
07.10.2024,"Boise Air Terminal Airport (BOI) Idaho","Orlando Sanford International Airport (SFB) Florida",2200,"6 hours 7 minutes",2000,18
07.10.2024,"Orlando Sanford International Airport (SFB) Florida","Fort Lauderdale Executive Airport (FXE) Florida",190,"57 minutes",310,3
08.10.2024,"Fort Lauderdale Executive Airport (FXE) Florida","Teterboro Airport (TEB) New Jersey",1100,"2 hours 17 minutes",750,7
09.10.2024,"Teterboro Airport (TEB) New Jersey","Hancock County Bar Harbor Airport (BHB) Maine",380,"1 hour 5 minutes",360,3
10.10.2024,"Hancock County Bar Harbor Airport (BHB) Maine","Pellston Regional Airport (PLN) Michigan",810,"2 hours 3 minutes",680,6
10.10.2024,"Pellston Regional Airport (PLN) Michigan","Indianapolis International Airport (IND) Speedway Indiana",410,"55 minutes",300,3
11.10.2024,"Indianapolis International Airport (IND) Speedway Indiana","Los Angeles International Airport (LAX) California",1800,"6 hours 48 minutes",2200,20
11.10.2024,"John Wayne Airport (SNA) Santa Ana, California","Naples Airport (APF) Florida",2200,"5 hours 42 minutes",1900,17
11.10.2024,"Naples Airport (APF) Florida","Fort Lauderdale Executive Airport (FXE) Florida",100,"1 hour 26 minutes",470,4
11.10.2024,"Los Angeles International Airport (LAX) California","John Wayne Airport (SNA) Santa Ana, California",40,"52 minutes",290,3
14.10.2024,"Fort Lauderdale Executive Airport (FXE) Florida","Northeast Philadelphia Airport (PNE) Pennsylvania",1000,"2 hours 8 minutes",700,6
16.10.2024,"Northeast Philadelphia Airport (PNE) Pennsylvania","Fort Lauderdale Executive Airport (FXE) Florida",1000,"2 hours 17 minutes",750,7
27.10.2024,"Fort Lauderdale Executive Airport (FXE) Florida","Cape Town International Airport (CPT)",1100,"2 hours 30 minutes",830,8
27.10.2024,"Cape Town International Airport (CPT)","William Hobby Airport (HOU) Houston",230,"57 minutes",310,3
29.10.2024,"Napa County Airport (APC) Napa Valley, California","Naples Airport (APF) Florida",2500,"6 hours 40 minutes",2200,20
29.10.2024,"William Hobby Airport (HOU) Houston","Napa County Airport (APC) Napa Valley, California",1600,"4 hours 3 minutes",1300,12
29.10.2024,"Naples Airport (APF) Florida","Fort Lauderdale Executive Airport (FXE) Florida",100,"1 hour 3 minutes",350,3
03.11.2024,"Joslin Field Magic Valley Regional Airport (TWF) Twin Falls, Idaho","Birmingham International Airport (BHM) Alabama",640,"1 hour 29 minutes",490,5
03.11.2024,"Birmingham International Airport (BHM) Alabama","Fort Lauderdale Executive Airport (FXE) Florida",640,"1 hour 20 minutes",440,4
08.11.2024,"Fort Lauderdale Executive Airport (FXE) Florida","Chicago Midway International Airport (MDW) Illinois",1200,"3 hours 17 minutes",1100,10
08.11.2024,"Chicago Midway International Airport (MDW) Illinois","Sugar Land Regional Airport (SGR) Houston",950,"1 hour 55 minutes",630,6
09.11.2024,"Sugar Land Regional Airport (SGR) Houston","Fort Lauderdale Executive Airport (FXE) Florida",980,"3 hours 13 minutes",1100,10
10.11.2024,"Nassau International Airport (NAS)","Chicago Executive Airport (PWK) Illinois",1300,"2 hours 49 minutes",930,9
10.11.2024,"Chicago Executive Airport (PWK) Illinois","Fort Lauderdale Executive Airport (FXE) Florida",1200,"2 hours 53 minutes",950,9
10.11.2024,"Fort Lauderdale Executive Airport (FXE) Florida","Nassau International Airport (NAS)",190,"1 hour 1 minute",340,3
23.11.2024,"Westchester County Airport (HPN) White Plains, New York","Palm Beach International Airport (PBI) West Palm Beach, Florida",1060,"2 hours 46 minutes",910,8
23.11.2024,"Miami International Airport (MIA) Florida","Westchester County Airport (HPN) White Plains, New York",1100,"2 hours 9 minutes",710,7
23.11.2024,"Palm Beach International Airport (PBI) West Palm Beach, Florida","Fort Lauderdale Executive Airport (FXE) Florida",40,"48 minutes",260,2
23.11.2024,"Fort Lauderdale Executive Airport (FXE) Florida","Miami International Airport (MIA) Florida",30,"47 minutes",260,2
27.11.2024,"Samana El Catey International Airport (AZS)","The Francis Gabreski Airport (FOK) West Hampton Beach, New York",1500,"3 hours 7 minutes",1000,9
27.11.2024,"Fort Lauderdale Executive Airport (FXE) Florida","Samana El Catey International Airport (AZS)",820,"2 hours 16 minutes",750,7
